Scale	omega (full scale)	Lower 99% CI	Upper 99% CI	omega (short-form scale)	Lower 99% CI	Upper 99% CI
Moral Foundations - Ingroup	0.563	0.52	0.602			
Moral Foundations - Purity	0.671	0.641	0.7			
Multicultural Attitudes	0.817	0.804	0.83	0.787	0.773	0.801
National Character - Cultural/Bicultural Awareness	0.867	0.858	0.875	0.712	0.683	0.739
National Character - Citizenship and Ancestry	0.858	0.848	0.867	0.602	0.575	0.628
National Character - Liberal Democratic Values	0.902	0.896	0.908	0.636	0.612	0.659
National Character - Patriotic Values	0.777	0.761	0.792	0.196	0.161	0.234
National Character - Rugby/Sporting Culture	0.869	0.86	0.877	0.761	0.734	0.785
National Wellbeing Index	0.801	0.786	0.814	0.808	0.795	0.821
Nationalism	0.643	0.606	0.675	0.455	0.4	0.506
Openness (Openness facet)	0.731	0.71	0.752	0.463	0.42	0.505
Passive Facilitation (BIAS-TS)	0.916	0.909	0.922	0.732	0.71	0.753
Passive Harm (BIAS-TS)	0.905	0.898	0.912	0.793	0.775	0.809
Patriotism	0.857	0.846	0.867	0.731	0.707	0.753
Perceived Social Support (Social Provisions Scale)	0.921	0.916	0.927	0.75	0.73	0.77
Perfectionism Discrepancy	0.918	0.912	0.924	0.809	0.794	0.823
Personal Locus of Control	0.684	0.655	0.712	0.665	0.619	0.704
Personal Respect	0.71	0.677	0.738	0.224	0.161	0.292
Personal Wellbeing Index	0.837	0.825	0.847	0.737	0.72	0.754
Political Locus of Control/ Political Efficacy	0.673	0.643	0.701	0.573	0.536	0.608
Presence of Meaning in Life	0.897	0.888	0.905	0.8	0.78	0.819
Primary Psychopathy	0.836	0.823	0.849	0.707	0.678	0.735
Psychological Entitlement Scale	0.816	0.8	0.831	0.673	0.642	0.703
Quest Religious Orientation	0.781	0.745	0.812	0.632	0.553	0.698
Race Essentialism (Lay Theory of Race Scale)	0.634	0.597	0.667	0.016	0.002	0.044
Realistic Threat - Asian Peoples	0.816	0.796	0.833	0.642	0.57	0.713
Realistic Threat - Maori	0.82	0.801	0.837	0.665	0.596	0.733
Realistic Threat - NZ Europeans	0.648	0.606	0.684	0.454	0.345	0.577
Realistic Threat - Pacific Peoples	0.804	0.783	0.822	0.639	0.563	0.711
Religious Fundamentalism	0.932	0.927	0.937	0.723	0.698	0.746
Religious Group Narcissism	0.83	0.801	0.855	0.709	0.65	0.759
Right-Wing Authoritarianism	0.923	0.918	0.928	0.676	0.653	0.696
Satisfaction with Life	0.795	0.777	0.813	0.784	0.761	0.805
Science Credibility	0.871	0.858	0.883	0.623	0.574	0.668
Self-Esteem	0.906	0.9	0.912	0.834	0.823	0.845
Sense of Belonging (SOBI-P)	0.921	0.915	0.927	0.6	0.571	0.627
Social Dominance Orientation (SDO6)	0.882	0.874	0.889	0.764	0.748	0.778
Socially Desirable Responding - Impression Management	0.761	0.741	0.78	0.162	0.111	0.219
Socially Desirable Responding - Self-Deceptive Enhancement	0.708	0.682	0.732	0.098	0.057	0.148
Subjective Health (General health perceptions subscale)	0.792	0.775	0.807	0.571	0.54	0.6
Symbolic Exclusion	0.897	0.891	0.902	0.846	0.837	0.856
Symbolic Threat - Asian Peoples	0.775	0.754	0.795	0.437	0.365	0.508
Symbolic Threat - Maori	0.742	0.715	0.766	0.406	0.327	0.487
Symbolic Threat - NZ Europeans	0.716	0.686	0.743	0.399	0.319	0.485
Symbolic Threat - Pacific Peoples	0.738	0.714	0.761	0.364	0.297	0.433
System Justification	0.751	0.734	0.768	0.522	0.49	0.553
Tall Poppy Attitudes	0.804	0.788	0.819	0.393	0.345	0.439
Trust in Science	0.874	0.861	0.886	0.685	0.638	0.727
