"","at_least_2_kids_in_2013","t0_ritual_scale","t1_ritual_scale","t0_ritual_1aweek","t1_ritual_1aweek","t0_faith_scale","t1_faith_scale","t0_faith_full","t1_faith_full","t0_age","t0_parent_income","t0_female","t0_religion_cat","t0_parent_education","t0_race","at_least_2_kid_in_2013","kids_2005","kids_2013","wave1","wave2","wave4","waves_1_2_4","caregiver1"
"17",0,3,2,0,0,5,2,1,0,17,11,1,"Mainline Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"18",0,1,2,0,0,1,1,0,0,15,11,1,"Not religious","Beyond high school","Other",0,0,0,1,1,1,1,"Parent"
"19",1,7,NA,1,NA,5,NA,1,NA,17,5,1,"Conservative Protestant","Beyond high school","Other",1,0,2,1,0,1,0,"Other"
"20",NA,2,5,0,0,3,3,0,0,13,11,0,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"21",NA,7,5,1,0,5,4,1,0,16,8,1,"Black Protestant","Beyond high school","Black",NA,NA,NA,1,1,0,0,"Parent"
"22",0,6,5,1,0,4,3,0,0,14,NA,0,"Conservative Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"23",0,2,1,0,0,4,4,0,0,14,1,1,"Catholic","Less than 12th grade","Hispanic",0,0,1,1,1,1,1,"Parent"
"24",0,1,1,0,0,2,2,0,0,13,5,0,"Not religious","Beyond high school","White",0,0,0,1,1,1,1,"Step p."
"25",1,1,NA,0,NA,1,NA,0,NA,17,4,1,"Not religious","Beyond high school","Not disclosed",1,0,4,1,0,1,0,"Legal guardian"
"26",0,2,2,0,0,2,2,0,0,13,7,0,"Jewish","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"27",0,7,7,1,1,5,5,1,1,15,6,1,"Conservative Protestant","Beyond high school","White",0,0,1,1,1,1,1,"Parent"
"28",NA,7,NA,1,NA,5,NA,1,NA,15,6,0,"Conservative Protestant","High school","White",NA,NA,NA,1,0,0,0,"Parent"
"29",NA,6,NA,1,NA,4,NA,0,NA,13,10,0,"Black Protestant","Beyond high school","Black",NA,NA,NA,1,0,0,0,"Legal guardian"
"30",0,3,6,0,1,5,5,1,1,14,3,1,"Conservative Protestant","High school","White",0,0,0,1,1,1,1,"Parent"
"31",0,5,6,0,1,5,5,1,1,15,5,0,"Black Protestant","Beyond high school","Black",0,0,0,1,1,1,1,"Parent"
"32",NA,6,NA,1,NA,5,NA,1,NA,17,10,0,"Mainline Protestant","Beyond high school","White",NA,NA,NA,1,0,0,0,"Parent"
"33",0,2,1,0,0,3,2,0,0,16,11,0,"Mainline Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"34",0,6,5,1,0,3,4,0,0,16,7,1,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"35",0,1,NA,0,NA,3,NA,0,NA,13,4,0,"Catholic","Beyond high school","White",0,0,0,1,0,1,0,"Parent"
"36",0,5,1,0,0,3,4,0,0,14,3,0,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"37",0,6,5,1,0,4,3,0,0,14,5,1,"Mainline Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"38",0,5,2,0,0,3,3,0,0,14,NA,0,"Black Protestant","High school","White",0,0,0,1,1,1,1,"Parent"
"39",NA,5,NA,0,NA,3,NA,0,NA,14,3,0,"Catholic","High school","Hispanic",NA,NA,NA,1,0,0,0,"Step p."
"40",0,2,1,0,0,2,2,0,0,15,11,1,"Conservative Protestant","High school","White",0,0,1,1,1,1,1,"Parent"
"41",NA,7,2,1,0,4,4,0,0,13,5,0,"Black Protestant","High school","Black",NA,NA,NA,1,1,0,0,"Parent"
"42",NA,1,7,0,1,2,3,0,0,17,3,0,"Not religious","High school","White",NA,NA,NA,1,1,0,0,"Parent"
"43",0,4,1,0,0,4,3,0,0,15,8,1,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"44",0,5,1,0,0,4,3,0,0,14,5,0,"Mainline Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"45",NA,7,7,1,1,5,5,1,1,14,4,1,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"46",0,5,6,0,1,1,3,0,0,17,4,0,"Conservative Protestant","Less than 12th grade","White",0,0,0,1,1,1,1,"Parent"
"47",NA,1,1,0,0,1,3,0,0,16,5,1,"Not religious","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"48",0,1,NA,0,NA,5,NA,1,NA,15,NA,0,"Catholic","High school","Black",0,0,0,1,0,1,0,"Parent"
"49",NA,5,NA,0,NA,2,NA,0,NA,13,2,0,"Conservative Protestant","Less than 12th grade","Black",NA,NA,NA,1,0,0,0,"Grandparent"
"50",NA,6,NA,1,NA,5,NA,1,NA,16,9,0,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,0,0,0,"Parent"
"51",1,5,NA,0,NA,5,NA,1,NA,16,4,1,"Catholic","High school","White",1,1,3,1,0,1,0,"Parent"
"52",1,7,7,1,1,5,5,1,1,17,NA,1,"Mormon","Beyond high school","White",1,0,3,1,1,1,1,"Parent"
"53",NA,1,1,0,0,1,1,0,0,17,5,0,"Not religious","High school","White",NA,NA,NA,1,1,0,0,"Parent"
"54",0,7,4,1,0,5,3,1,0,14,5,1,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"55",0,3,1,0,0,5,4,1,0,16,7,1,"Conservative Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"56",0,6,5,1,0,2,3,0,0,16,9,1,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"57",0,3,1,0,0,2,2,0,0,13,4,1,"Catholic","High school","White",0,1,1,1,1,1,1,"Parent"
"58",1,6,3,1,0,3,3,0,0,17,4,1,"Mainline Protestant","Beyond high school","White",1,0,2,1,1,1,1,"Parent"
"59",NA,1,6,0,1,4,5,0,1,14,11,1,"Catholic","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"60",NA,1,NA,0,NA,3,NA,0,NA,17,6,0,"Not religious","Beyond high school","Other",NA,NA,NA,1,0,0,0,"Parent"
"61",NA,6,NA,1,NA,5,NA,1,NA,17,6,1,"Conservative Protestant","High school","White",NA,NA,NA,1,0,0,0,"Refused"
"62",0,3,6,0,1,3,4,0,0,16,11,0,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"63",0,4,NA,0,NA,4,NA,0,NA,16,1,1,"Catholic","Less than 12th grade","Hispanic",0,0,1,1,0,1,0,"Parent"
"64",NA,2,1,0,0,2,1,0,0,13,7,1,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"65",NA,3,3,0,0,5,5,1,1,13,4,0,"Conservative Protestant","Less than 12th grade","White",NA,NA,NA,1,1,0,0,"Parent"
"66",0,5,5,0,0,3,3,0,0,17,3,0,"Conservative Protestant","High school","White",0,0,0,1,1,1,1,"Parent"
"67",1,1,1,0,0,4,3,0,0,16,9,1,"Catholic","Beyond high school","Black",1,0,2,1,1,1,1,"Parent"
"68",0,7,5,1,0,5,5,1,1,17,5,1,"Black Protestant","High school","Black",0,0,0,1,1,1,1,"Parent"
"69",0,2,2,0,0,2,3,0,0,14,NA,1,"Jewish","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"70",NA,5,NA,0,NA,3,NA,0,NA,15,1,0,"Catholic","Beyond high school","Black",NA,NA,NA,1,0,0,0,"Refused"
"71",NA,4,2,0,0,4,4,0,0,17,2,1,"Catholic","High school","Hispanic",NA,NA,NA,1,1,0,0,"Parent"
"72",0,1,2,0,0,1,5,0,1,14,7,0,"Not religious","High school","White",0,0,0,1,1,1,1,"Parent"
"73",NA,7,5,1,0,5,5,1,1,13,1,1,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"74",0,6,7,1,1,3,4,0,0,13,4,1,"Conservative Protestant","Beyond high school","Other",0,0,0,1,1,1,1,"Parent"
"75",0,2,NA,0,NA,4,NA,0,NA,14,6,1,"Black Protestant","Beyond high school","Black",0,0,0,1,0,1,0,"Parent"
"76",NA,7,3,1,0,4,5,0,1,15,4,1,"Black Protestant","Beyond high school","Black",NA,NA,NA,1,1,0,0,"Parent"
"77",1,2,1,0,0,4,4,0,0,15,5,1,"Mainline Protestant","Beyond high school","White",1,0,2,1,1,1,1,"Parent"
"78",NA,6,NA,1,NA,2,NA,0,NA,13,5,1,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,0,0,0,"Parent"
"79",0,1,1,0,0,4,3,0,0,15,5,1,"Not religious","Beyond high school","Black",0,0,0,1,1,1,1,"Step p."
"80",NA,6,NA,1,NA,4,NA,0,NA,13,9,1,"Mainline Protestant","Beyond high school","White",NA,NA,NA,1,0,0,0,"Parent"
"81",1,5,2,0,0,4,4,0,0,17,6,1,"Mainline Protestant","High school","White",1,1,2,1,1,1,1,"Parent"
"82",0,5,5,0,0,3,4,0,0,15,4,0,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"83",1,6,2,1,0,5,4,1,0,15,4,1,"Conservative Protestant","Beyond high school","White",1,0,2,1,1,1,1,"Parent"
"84",0,6,5,1,0,3,3,0,0,15,3,1,"Mainline Protestant","High school","White",0,0,0,1,1,1,1,"Parent"
"85",0,6,5,1,0,4,4,0,0,17,4,0,"Conservative Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"86",1,6,2,1,0,4,3,0,0,15,3,0,"Conservative Protestant","Beyond high school","White",1,0,2,1,1,1,1,"Parent"
"87",0,1,1,0,0,2,2,0,0,15,5,1,"Not religious","High school","White",0,0,0,1,1,1,1,"Parent"
"88",0,7,NA,1,NA,3,NA,0,NA,16,5,1,"Conservative Protestant","High school","White",0,0,0,1,0,1,0,"Parent"
"89",0,7,7,1,1,5,5,1,1,17,2,1,"Conservative Protestant","Less than 12th grade","White",0,0,0,1,1,1,1,"DK"
"90",NA,5,5,0,0,4,4,0,0,14,7,1,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"91",0,1,1,0,0,3,3,0,0,14,2,0,"Catholic","High school","White",0,0,0,1,1,1,1,"Parent"
"92",0,1,1,0,0,3,3,0,0,14,3,1,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"93",NA,2,1,0,0,1,3,0,0,13,7,0,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"94",0,2,1,0,0,3,2,0,0,14,6,1,"Mainline Protestant","High school","White",0,0,1,1,1,1,1,"Parent"
"95",0,2,NA,0,NA,2,NA,0,NA,14,4,0,"Catholic","High school","White",0,0,0,1,0,1,0,"Parent"
"96",0,2,NA,0,NA,3,NA,0,NA,13,10,1,"Conservative Protestant","Beyond high school","Not disclosed",0,0,1,1,0,1,0,"Parent"
"97",NA,5,1,0,0,5,3,1,0,17,5,1,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"98",0,5,4,0,0,4,3,0,0,14,11,1,"Mainline Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"99",NA,2,3,0,0,1,1,0,0,13,11,1,"Jewish","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"100",NA,6,NA,1,NA,3,NA,0,NA,14,2,1,"Catholic","Less than 12th grade","Hispanic",NA,NA,NA,1,0,0,0,"Parent"
"101",0,1,2,0,0,2,3,0,0,16,11,0,"Not religious","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"102",NA,6,1,1,0,4,5,0,1,14,3,0,"Mainline Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"103",0,6,7,1,1,5,3,1,0,13,5,1,"Mainline Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"104",NA,5,5,0,0,3,4,0,0,17,9,0,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"105",NA,3,1,0,0,5,3,1,0,13,2,0,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"106",0,5,3,0,0,4,3,0,0,14,4,0,"Conservative Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Grandparent"
"107",0,4,3,0,0,3,3,0,0,16,11,1,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"108",NA,6,NA,1,NA,5,NA,1,NA,15,11,1,"Catholic","Beyond high school","White",NA,NA,NA,1,0,0,0,"Parent"
"109",NA,3,7,0,1,5,5,1,1,15,9,0,"Conservative Protestant","Beyond high school","Black",NA,NA,NA,1,1,0,0,"Parent"
"110",1,2,NA,0,NA,3,NA,0,NA,16,4,0,"Catholic","Less than 12th grade","Black",1,0,2,1,0,1,0,"Parent"
"111",0,7,6,1,1,3,4,0,0,13,7,1,"Conservative Protestant","Beyond high school","Other",0,0,0,1,1,1,1,"Parent"
"112",NA,6,1,1,0,3,1,0,0,16,3,1,"Conservative Protestant","High school","White",NA,NA,NA,1,1,0,0,"Grandparent"
"113",0,5,2,0,0,4,4,0,0,17,11,1,"Catholic","Beyond high school","White",0,0,1,1,1,1,1,"Parent"
"114",0,6,4,1,0,4,4,0,0,16,5,0,"Conservative Protestant","Beyond high school","White",0,0,0,1,1,1,1,"DK"
"115",0,6,6,1,1,4,4,0,0,15,2,0,"Black Protestant","Beyond high school","Black",0,0,0,1,1,1,1,"Parent"
"116",0,2,2,0,0,3,2,0,0,17,8,0,"Conservative Protestant","Beyond high school","White",0,0,1,1,1,1,1,"Parent"
"117",NA,4,NA,0,NA,2,NA,0,NA,16,11,0,"Mainline Protestant","Beyond high school","White",NA,NA,NA,1,0,0,0,"Parent"
"118",NA,1,NA,0,NA,3,NA,0,NA,16,3,0,"Conservative Protestant","Beyond high school","Other",NA,NA,NA,1,0,0,0,"Legal guardian"
"119",NA,7,1,1,0,4,3,0,0,16,1,1,"Conservative Protestant","Less than 12th grade","White",NA,NA,NA,1,1,0,0,"Parent"
"120",0,1,1,0,0,3,2,0,0,14,5,1,"Not religious","High school","White",0,0,0,1,1,1,1,"Refused"
"121",0,1,2,0,0,3,3,0,0,13,5,1,"Not religious","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"122",NA,6,6,1,1,4,5,0,1,13,9,0,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"123",NA,7,NA,1,NA,5,NA,1,NA,17,1,0,"Black Protestant","High school","Other",NA,NA,NA,1,0,0,0,"Parent"
"124",NA,3,6,0,1,3,3,0,0,16,6,0,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"125",0,2,1,0,0,1,3,0,0,15,2,0,"Not religious","Beyond high school","White",0,0,0,1,1,1,1,"Refused"
"126",0,5,4,0,0,3,4,0,0,13,NA,0,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Legal guardian"
"127",NA,6,6,1,1,3,3,0,0,13,2,1,"Catholic","Beyond high school","Hispanic",NA,NA,NA,1,1,0,0,"Legal guardian"
"128",0,2,6,0,1,4,4,0,0,14,NA,1,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"129",0,2,1,0,0,1,2,0,0,16,8,0,"Mainline Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"130",0,6,6,1,1,4,4,0,0,13,8,0,"Mainline Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"131",0,6,2,1,0,4,4,0,0,15,11,0,"Mainline Protestant","Beyond high school","Not disclosed",0,0,0,1,1,1,1,"Parent"
"132",0,7,6,1,1,5,5,1,1,17,5,0,"Conservative Protestant","High school","Hispanic",0,0,0,1,1,1,1,"Parent"
"133",0,2,2,0,0,4,3,0,0,14,5,1,"Not disclosed","High school","Black",0,0,0,1,1,1,1,"Parent"
"134",NA,7,6,1,1,5,4,1,0,14,5,0,"Conservative Protestant","High school","White",NA,NA,NA,1,1,0,0,"Parent"
"135",0,2,1,0,0,4,3,0,0,15,4,1,"Conservative Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"136",0,2,NA,0,NA,2,NA,0,NA,15,6,0,"Conservative Protestant","Beyond high school","White",0,0,1,1,0,1,0,"Parent"
"137",0,4,2,0,0,3,3,0,0,17,8,0,"Mainline Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"138",0,7,7,1,1,4,5,0,1,15,5,1,"Conservative Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"139",0,6,4,1,0,3,2,0,0,14,5,0,"Mainline Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"140",0,6,6,1,1,4,4,0,0,15,8,1,"Mainline Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"141",NA,2,2,0,0,3,2,0,0,15,2,0,"Catholic","High school","White",NA,NA,NA,1,1,0,0,"Parent"
"142",0,4,NA,0,NA,3,NA,0,NA,13,8,1,"Not disclosed","Beyond high school","White",0,0,0,1,0,1,0,"Parent"
"143",NA,4,NA,0,NA,3,NA,0,NA,13,11,1,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,0,0,0,"Parent"
"144",0,6,6,1,1,5,5,1,1,15,7,1,"Mormon","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"145",0,5,4,0,0,4,4,0,0,16,10,0,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"146",0,7,6,1,1,5,5,1,1,17,3,0,"Black Protestant","Beyond high school","Black",0,0,0,1,1,1,1,"Grandparent"
"147",0,7,3,1,0,4,4,0,0,16,4,0,"Black Protestant","Beyond high school","Black",0,0,0,1,1,1,1,"Refused"
"148",0,3,NA,0,NA,3,NA,0,NA,16,10,1,"Catholic","Beyond high school","White",0,0,0,1,0,1,0,"Parent"
"149",0,7,7,1,1,4,4,0,0,14,7,1,"Black Protestant","Beyond high school","Black",0,0,1,1,1,1,1,"Parent"
"150",NA,1,NA,0,NA,1,NA,0,NA,16,NA,1,"Not religious","Beyond high school","White",NA,NA,NA,1,0,0,0,"DK"
"151",NA,1,2,0,0,3,2,0,0,13,9,0,"Mainline Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"152",0,1,1,0,0,1,2,0,0,15,5,0,"Not religious","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"153",1,2,1,0,0,2,3,0,0,17,7,1,"Conservative Protestant","High school","White",1,1,3,1,1,1,1,"DK"
"154",0,1,1,0,0,3,2,0,0,17,6,0,"Not religious","Beyond high school","White",0,0,0,1,1,1,1,"Refused"
"155",0,6,4,1,0,4,4,0,0,16,1,0,"Other religion","Less than 12th grade","Other",0,0,0,1,1,1,1,"Parent"
"156",0,6,6,1,1,4,5,0,1,14,5,0,"Mainline Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Refused"
"157",0,3,3,0,0,4,4,0,0,15,7,1,"Black Protestant","Beyond high school","Black",0,0,0,1,1,1,1,"Parent"
"158",0,1,5,0,0,3,3,0,0,16,1,0,"Not religious","Less than 12th grade","Other",0,0,0,1,1,1,1,"Parent"
"159",0,2,NA,0,NA,2,NA,0,NA,15,3,0,"Catholic","High school","White",0,0,1,1,0,1,0,"Parent"
"160",NA,6,5,1,0,4,3,0,0,13,4,1,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"161",1,7,7,1,1,4,5,0,1,16,6,0,"Conservative Protestant","High school","White",1,0,2,1,1,1,1,"Parent"
"162",NA,6,NA,1,NA,5,NA,1,NA,15,10,0,"Black Protestant","Beyond high school","Black",NA,NA,NA,1,0,0,0,"Parent"
"163",NA,3,NA,0,NA,5,NA,1,NA,16,5,1,"Conservative Protestant","Beyond high school","Black",NA,NA,NA,1,0,0,0,"Parent"
"164",0,6,6,1,1,5,4,1,0,15,7,0,"Conservative Protestant","High school","White",0,0,0,1,1,1,1,"Parent"
"165",NA,7,7,1,1,4,3,0,0,13,3,0,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"166",0,5,2,0,0,3,2,0,0,15,5,0,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"167",NA,1,1,0,0,2,3,0,0,17,4,1,"Not religious","High school","Hispanic",NA,NA,NA,1,1,0,0,"Parent"
"168",NA,6,6,1,1,3,3,0,0,15,3,0,"Catholic","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"169",0,7,7,1,1,5,5,1,1,15,10,0,"Conservative Protestant","Beyond high school","White",0,0,1,1,1,1,1,"Parent"
"170",0,2,1,0,0,3,3,0,0,16,11,0,"Not religious","High school","Hispanic",0,0,1,1,1,1,1,"Parent"
"171",0,2,4,0,0,2,3,0,0,17,10,1,"Mainline Protestant","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"172",0,5,4,0,0,3,3,0,0,17,3,0,"Black Protestant","High school","Black",0,0,0,1,1,1,1,"Parent"
"173",0,7,7,1,1,5,5,1,1,14,11,0,"Mormon","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"174",0,3,1,0,0,3,3,0,0,13,5,0,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"DK"
"175",NA,3,5,0,0,5,5,1,1,13,11,1,"Mainline Protestant","Beyond high school","Black",NA,NA,NA,1,1,0,0,"Parent"
"176",NA,1,NA,0,NA,3,NA,0,NA,16,6,0,"Catholic","High school","Hispanic",NA,NA,NA,1,0,0,0,"Parent"
"177",0,1,1,0,0,5,3,1,0,17,3,0,"Mainline Protestant","High school","White",0,0,1,1,1,1,1,"Legal guardian"
"178",NA,7,7,1,1,4,5,0,1,14,5,0,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,1,0,0,"Parent"
"179",0,1,1,0,0,3,4,0,0,13,8,1,"Not religious","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"180",0,5,5,0,0,3,3,0,0,16,11,1,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"181",0,1,1,0,0,3,1,0,0,17,11,1,"Not religious","Beyond high school","Hispanic",0,0,0,1,1,1,1,"Parent"
"182",NA,1,NA,0,NA,3,NA,0,NA,13,1,0,"Not religious","Less than 12th grade","Not disclosed",NA,NA,NA,1,0,0,0,"Parent"
"183",NA,7,6,1,1,4,4,0,0,14,11,1,"Black Protestant","Beyond high school","Black",NA,NA,NA,1,1,0,0,"Parent"
"184",NA,2,NA,0,NA,3,NA,0,NA,13,3,0,"Conservative Protestant","Beyond high school","White",NA,NA,NA,1,0,0,0,"Parent"
"185",0,2,4,0,0,4,4,0,0,16,5,0,"Conservative Protestant","High school","White",0,0,1,1,1,1,1,"Parent"
"186",NA,2,1,0,0,1,3,0,0,16,4,0,"Conservative Protestant","High school","White",NA,NA,NA,1,1,0,0,"Parent"
"187",0,6,4,1,0,4,4,0,0,15,6,0,"Black Protestant","Beyond high school","Black",0,0,0,1,1,1,1,"Parent"
"188",NA,2,NA,0,NA,3,NA,0,NA,16,2,0,"Conservative Protestant","Less than 12th grade","White",NA,NA,NA,1,0,0,0,"Parent"
"189",NA,2,4,0,0,3,4,0,0,17,5,1,"Black Protestant","Beyond high school","Black",NA,NA,NA,1,1,0,0,"Parent"
"190",NA,1,NA,0,NA,2,NA,0,NA,15,2,1,"Not religious","High school","White",NA,NA,NA,1,0,0,0,"Other"
"191",NA,1,NA,0,NA,2,NA,0,NA,13,6,0,"Mainline Protestant","High school","White",NA,NA,NA,1,0,0,0,"Parent"
"192",NA,1,1,0,0,3,3,0,0,15,1,1,"Black Protestant","Beyond high school","Black",NA,NA,NA,1,1,0,0,"Parent"
"193",0,3,NA,0,NA,3,NA,0,NA,17,9,1,"Mainline Protestant","Beyond high school","White",0,0,1,1,0,1,0,"Parent"
"194",0,5,NA,0,NA,5,NA,1,NA,16,5,1,"Mainline Protestant","Beyond high school","White",0,0,1,1,0,1,0,"Parent"
"195",0,2,2,0,0,4,3,0,0,14,6,0,"Mainline Protestant","Beyond high school","Hispanic",0,0,0,1,1,1,1,"Parent"
"196",0,2,2,0,0,4,3,0,0,17,4,1,"Black Protestant","High school","Black",0,0,0,1,1,1,1,"Parent"
"197",0,2,1,0,0,3,3,0,0,14,11,0,"Catholic","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"198",0,1,2,0,0,2,2,0,0,16,5,1,"Not religious","Beyond high school","White",0,0,0,1,1,1,1,"Parent"
"199",1,5,NA,0,NA,4,NA,0,NA,15,9,1,"Conservative Protestant","Beyond high school","Black",1,1,3,1,0,1,0,"Parent"
"200",NA,4,NA,0,NA,2,NA,0,NA,13,4,0,"Not disclosed","Less than 12th grade","Hispanic",NA,NA,NA,1,0,0,0,"Parent"
"201",0,7,6,1,1,4,4,0,0,15,2,1,"Conservative Protestant","Beyond high school","Hispanic",0,0,0,1,1,1,1,"Parent"
"202",0,5,6,0,1,3,5,0,1,13,5,1,"Other religion","Beyond high school","Other",0,0,0,1,1,1,1,"Parent"
"203",NA,2,NA,0,NA,4,NA,0,NA,14,3,1,"Conservative Protestant","Less than 12th grade","Hispanic",NA,NA,NA,1,0,0,0,"Parent"
"204",NA,6,NA,1,NA,3,NA,0,NA,14,NA,0,"Catholic","Beyond high school","White",NA,NA,NA,1,0,0,0,"Parent"
